y,x,group,stack,tooltip
Singapore,78762,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>78762</td></tr></table>
United States,53001,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>53001</td></tr></table>
Australia,45138,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>45138</td></tr></table>
United Arab Emirates,63181,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>63181</td></tr></table>
Germany,43475,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>43475</td></tr></table>
Switzerland,53977,GDP,Stack,<table class='PykCharts'><tr><th>GDP</th></tr><tr><td>53977</td></tr></table>
