x,y,tooltip
Pre-revenue,27,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>27%</td></tr></table>
<5 lakh,18,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>18%</td></tr></table>
5-25 lakh,14,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>14%</td></tr></table>
25-50 lakh,16,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>16%</td></tr></table>
50 lakh-1cr,10,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>10%</td></tr></table>
1-3cr,10,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>10%</td></tr></table>
3-6cr,2,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>2%</td></tr></table>
6cr+,4,<table class='PykCharts'><tr><th>Startups</th></tr><tr><td>4%</td></tr></table>
